"Отметка времени","What is your age?","What is your gender?","What is your highest education level?","What is your employment status?","If employed, which industry do you work in?","What is your monthly income level?","How frequently do you purchase products or services online?","How important is brand name when choosing a product or service?","How important is logo design when choosing a product or service?","Which attributes are most important when choosing a brand?","Do you trust unfamiliar brands? (brands you have little or no prior knowledge about)?","Do you own many items from unfamiliar brands? (brands you were not familiar with before purchasing)","How likely are you to recommend a brand (excluding clothing) based only on its name and logo?","How likely are you to recommend a clothing brand based only on its name and logo?","What influences your brand choices most?","How memorable is the brand ""Ecotiva""?","What industry does the brand ""Ecotiva"" belong to?","How visually attractive is the brand ""Ecotiva""?","How would you rate the name ""Ecotiva""?","How memorable is the brand ""Visioniq""?","What industry does the brand ""Visioniq"" belong to?","How visually attractive is the brand ""Visioniq""?","How would you rate the name ""Visioniq""?","How memorable is the brand ""Norse Projects""?","What industry does the brand ""Norse Projects"" belong to?","How visually attractive is the brand ""Norse Projects""?","How would you rate the name ""Norse Projects""?","How memorable is the brand ""Fidelicon""?","What industry does the brand ""Fidelicon"" belong to?","How visually attractive is the brand ""Fidelicon""?","How would you rate the name ""Fidelicon""?","How memorable is the brand ""Seedlip""?","What industry does the brand ""Seedlip"" belong to?","How visually attractive is the brand ""Seedlip""?","How would you rate the name ""Seedlip""?","How memorable is the brand ""Seraphic""?","What industry does the brand ""Seraphic"" belong to?","How visually attractive is the brand ""Seraphic""?","How would you rate the name ""Seraphic""?","How memorable is the brand ""Grove Collaborative""?","What industry does ""Grove Collaborative"" belong to?","How visually attractive is ""Grove Collaborative""?","How would you rate the name ""Grove Collaborative""?","How memorable is the brand ""Etiera""?","What industry does ""Etiera?","How visually attractive is ""Etiera""?","How would you rate the name ""Etiera""?","How memorable is the brand ""Plaid""?","What industry does the brand ""Plaid"" belong to?","How visually attractive is the brand ""Plaid""?","How would you rate the name ""Plaid""?","How memorable is the brand ""Verdura""?","What industry does ""Verdura?","How visually attractive is ""Verdura""?","How would you rate the name ""Verdura""?","How memorable is the brand ""Northvolt""?","What industry does the brand ""Northvolt"" belong to?","How visually attractive is the brand ""Northvolt""?","How would you rate the name ""Northvolt""?","How memorable is the brand ""Klevu""?","What industry does the brand ""Klevu"" belong to?","How visually attractive is the brand ""Klevu""?","How would you rate the name ""Klevu""?","Which logo do you prefer? (Norse Projects or Etiera)","Which brand name do you prefer? (Norse Projects or Etiera)","Which logo do you prefer? (Verdura or Seedlip)","Which brand name do you prefer? (Verdura or Seedlip)","Which logo do you prefer? (Ecotiva or Groove Collaborative)","Which brand name do you prefer? (Ecotiva or Groove Collaborative)","Which logo do you prefer? (Seraphic or Plaid)","Which brand name do you prefer? (Seraphic or Plaid)"
"2025/04/30 3:02:48 PM GMT+3","18–24","Male","Bachelor's degree","Employed full-time","Tech","€1000–€2000","Rarely","4","2","Attractiveness;Uniqueness;Price;Quality","Sometimes","A few","2","3","Online reviews","2","Health","2","Neutral","4","Marketing","3","Good","2","Fashion","3","Good","3","Tech","3","Neutral","3","Fashion","2","Neutral","4","Health","3","Good","3","Industry","3","Good","2","Retail","1","Neutral","4","Food","4","Neutral","2","Health","2","Good","4","Fashion","4","Good","3","Marketing","2","Neutral","2","Etiera","1","Verdura","2","Groove Collaborative","1","Seraphic"
"2025/04/30 3:26:47 PM GMT+3","18–24","Male","Bachelor's degree","Employed full-time","Tech","Over €4000","Rarely","2","2","Trustworthiness;Quality","Sometimes","Many","3","5","Online reviews","3","Health","4","Neutral","4","Tech","4","Neutral","3","Fashion","3","Neutral","3","Tech","3","Neutral","3","Health","4","Neutral","4","Health","4","Good","3","Food","2","Neutral","4","Health","4","Neutral","4","Tech","4","Neutral","4","Health","4","Neutral","3","Industry","4","Neutral","2","Industry","2","Bad","2","Etiera","1","Verdura","1","Groove Collaborative","1","Seraphic"
"2025/04/30 4:19:48 PM GMT+3","25–34","Female","Master's degree","Student","Not employed","Under €1000","Weekly","4","3","Attractiveness;Clarity;Uniqueness;Price","Usually","A few","4","4","Social media","4","Food","4","Neutral","4","Tech","4","Good","4","Industry","3","Bad","4","Tech","4","Good","4","Retail","4","Very bad","5","Health","4","Very good","4","Services","4","Neutral","4","Marketing","3","Bad","4","Finance","2","Good","3","Health","4","Neutral","4","Education","4","Very good","5","Health","4","Bad","2","Etiera","1","Verdura","2","Ecotiva","1","Seraphic"
"2025/04/30 4:22:16 PM GMT+3","35–44","Male","Master's degree","Student","Not employed","Under €1000","Rarely","2","2","Memorability;Attractiveness;Trustworthiness","Sometimes","A few","3","2","Online reviews","5","Food","5","Good","2","Tech","1","Neutral","1","Industry","1","Neutral","2","Services","1","Neutral","1","Fashion","1","Neutral","5","Health","5","Very good","2","Industry","1","Bad","2","Retail","3","Bad","5","Fashion","1","Neutral","1","Food","4","Good","4","Tech","2","Good","5","Services","5","Very good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 4:22:45 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Under €1000","Weekly","4","4","Trustworthiness;Price;Quality;Popularity","Sometimes","A few","3","4","Online reviews","2","Health","2","Bad","3","Education","3","Neutral","4","Services","3","Neutral","1","Tech","1","Very bad","4","Retail","4","Neutral","3","Tech","3","Neutral","3","Media","4","Good","3","Fashion","3","Neutral","5","Retail","5","Good","4","Health","4","Good","4","Fashion","4","Good","1","Industry","1","Bad","1","Norse Projects","1","Verdura","2","Groove Collaborative","2","Plaid"
"2025/04/30 4:30:48 PM GMT+3","18–24","Female","Master's degree","Student","Not employed","Prefer not to say","Monthly","4","4","Clarity;Price;Quality;Popularity","Rarely","None","4","3","Social media","2","Industry","2","Neutral","2","Services","2","Bad","4","Health","1","Very bad","2","Retail","1","Bad","3","Fashion","4","Good","3","Health","2","Neutral","2","Finance","2","Bad","2","Education","2","Bad","3","Marketing","2","Bad","4","Food","3","Neutral","1","Industry","1","Bad","2","Tech","2","Bad","2","Etiera","1","Verdura","1","Ecotiva","1","Plaid"
"2025/04/30 4:32:15 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Under €1000","Rarely","3","4","Attractiveness;Uniqueness;Price;Quality","Always","A few","2","5","Social media","1","Food","3","Neutral","4","Tech","4","Neutral","3","Fashion","1","Good","4","Finance","2","Good","3","Services","3","Very good","5","Health","1","Good","5","Education","2","Good","4","Retail","1","Bad","4","Retail","2","Good","4","Services","2","Good","4","Health","3","Good","5","Industry","2","Good","1","Norse Projects","2","Seedlip","1","Ecotiva","1","Plaid"
"2025/04/30 4:34:37 PM GMT+3","18–24","Female","High school","Student","Education","Under €1000","Monthly","4","4","Attractiveness;Price;Quality","Usually","Very few","4","4","Social media","3","Other","4","Good","4","Services","3","Very bad","3","Fashion","1","Bad","2","Tech","2","Bad","3","Retail","4","Neutral","4","Health","4","Good","1","Services","3","Neutral","2","Health","2","Very bad","4","Retail","1","Very bad","2","Health","3","Very bad","5","Fashion","5","Very good","1","Services","1","Very bad","1","Norse Projects","2","Seedlip","1","Ecotiva","1","Seraphic"
"2025/04/30 4:36:13 PM GMT+3","35–44","Male","Master's degree","Employed full-time","Education","€2000–€3000","Daily","5","4","Uniqueness;Trustworthiness","Always","Many","5","5","Social media","4","Marketing","5","Very good","5","Health","5","Good","5","Tech","4","Neutral","5","Finance","4","Neutral","4","Health","4","Neutral","5","Health","5","Very good","5","Health","4","Good","5","Industry","5","Neutral","5","Industry","5","Good","5","Services","4","Good","4","Retail","5","Neutral","5","Health","5","Good","2","Etiera","2","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 5:51:05 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Under €1000","Weekly","4","3","Price;Quality;Popularity","Usually","Many","2","4","Social media","2","Health","4","Bad","4","Tech","4","Good","2","Fashion","2","Neutral","4","Tech","4","Good","2","Food","1","Bad","4","Tech","3","Bad","4","Retail","4","Good","2","Fashion","3","Good","4","Fashion","4","Good","5","Food","4","Very good","5","Tech","4","Very good","1","Tech","3","Bad","1","Norse Projects","1","Verdura","2","Groove Collaborative","2","Plaid"
"2025/04/30 7:36:27 PM GMT+3","18–24","Male","High school","Student","Not employed","Under €1000","Monthly","4","2","Price;Quality","Usually","A few","4","2","Friends and family","1","Health","2","Bad","3","Industry","4","Neutral","1","Media","2","Neutral","4","Tech","5","Very bad","1","Health","2","Bad","4","Health","5","Neutral","1","Food","3","Bad","3","Finance","4","Good","4","Services","4","Good","2","Education","4","Bad","4","Industry","3","Neutral","1","Services","2","Good","1","Norse Projects","2","Seedlip","1","Ecotiva","2","Plaid"
"2025/04/30 7:39:13 PM GMT+3","25–34","Female","Doctorate","Employed full-time","Education","Prefer not to say","Weekly","4","2","Price;Quality","Sometimes","A few","1","1","Online reviews","3","Tech","4","Neutral","3","Health","3","Neutral","2","Finance","1","Bad","3","Tech","3","Neutral","3","Food","4","Neutral","3","Health","4","Neutral","3","Industry","2","Neutral","3","Fashion","4","Bad","3","Marketing","2","Bad","3","Retail","4","Good","3","Services","2","Bad","3","Marketing","4","Neutral","2","Norse Projects","1","Verdura","1","Groove Collaborative","1","Seraphic"
"2025/04/30 7:48:55 PM GMT+3","25–34","Male","Bachelor's degree","Self-employed","Not employed","€2000–€3000","Weekly","5","3","Quality;Popularity","Rarely","Very few","1","4","Social media","4","Food","4","Neutral","2","Media","2","Neutral","4","Fashion","3","Good","3","Tech","2","Neutral","3","Health","2","Neutral","4","Health","4","Neutral","4","Services","4","Neutral","3","Finance","5","Good","5","Marketing","3","Neutral","3","Other","4","Good","4","Fashion","5","Good","5","Services","4","Good","1","Etiera","1","Seedlip","1","Ecotiva","1","Seraphic"
"2025/04/30 9:40:47 PM GMT+3","45+","Female","Bachelor's degree","Employed full-time","Finance","€1000–€2000","Rarely","3","2","Price;Quality","Sometimes","Very few","1","2","Friends and family","2","Health","2","Good","4","Health","2","Neutral","1","Education","1","Good","4","Finance","4","Good","1","Services","1","Bad","3","Tech","3","Neutral","2","Education","2","Neutral","1","Other","1","Bad","2","Industry","3","Neutral","4","Industry","4","Neutral","1","Industry","1","Neutral","3","Marketing","4","Neutral","1","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 9:59:34 PM GMT+3","45+","Male","Bachelor's degree","Employed full-time","Industry","€1000–€2000","Rarely","1","1","Trustworthiness","Rarely","Many","1","1","Friends and family","5","Health","5","Good","1","Tech","5","Neutral","1","Marketing","1","Neutral","3","Services","3","Good","3","Health","3","Neutral","3","Other","3","Neutral","3","Other","3","Neutral","3","Other","3","Neutral","3","Marketing","3","Neutral","3","Other","3","Neutral","3","Other","3","Neutral","3","Other","3","Neutral","1","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/04/30 10:08:43 PM GMT+3","18–24","Male","Master's degree","Employed full-time","Tech","Prefer not to say","Monthly","5","3","Memorability;Attractiveness;Price;Quality","Rarely","A few","3","3","Advertising","1","Other","5","Neutral","3","Other","3","Neutral","5","Other","3","Neutral","4","Other","3","Neutral","5","Other","3","Neutral","4","Health","4","Good","5","Other","4","Neutral","3","Other","3","Good","5","Other","4","Good","3","Other","3","Neutral","3","Other","3","Good","4","Other","4","Neutral","1","Norse Projects","2","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/05/02 12:52:39 PM GMT+3","25–34","Female","Master's degree","Self-employed","Marketing","Under €1000","Monthly","3","3","Clarity;Price;Quality","Usually","A few","2","2","Friends and family","3","Tech","3","Neutral","3","Tech","3","Neutral","2","Industry","1","Bad","2","Services","3","Neutral","3","Health","3","Neutral","3","Health","3","Neutral","3","Media","2","Good","3","Health","3","Neutral","3","Tech","2","Neutral","4","Food","4","Good","3","Industry","3","Neutral","4","Retail","4","Neutral","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/02 12:59:05 PM GMT+3","18–24","Male","Bachelor's degree","Student","Not employed","Prefer not to say","Weekly","3","2","Trustworthiness;Price;Quality","Rarely","A few","1","1","Friends and family","1","Services","3","Bad","1","Education","1","Very bad","2","Fashion","1","Good","2","Tech","2","Bad","3","Other","1","Neutral","3","Health","3","Good","3","Fashion","3","Good","2","Fashion","2","Bad","2","Fashion","2","Neutral","3","Health","4","Good","2","Tech","2","Neutral","1","Fashion","2","Very bad","1","Norse Projects","1","Verdura","2","Groove Collaborative","1","Seraphic"
"2025/05/02 1:16:53 PM GMT+3","18–24","Female","High school","Student","Not employed","Under €1000","Rarely","3","2","Trustworthiness;Price;Quality;Popularity","Sometimes","Many","2","3","Friends and family","4","Health","4","Good","4","Marketing","2","Bad","3","Other","3","Bad","2","Industry","2","Bad","3","Other","4","Bad","3","Health","3","Good","2","Services","2","Bad","2","Media","4","Neutral","4","Services","2","Good","3","Health","3","Neutral","2","Retail","3","Neutral","3","Finance","2","Bad","1","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/02 1:24:41 PM GMT+3","25–34","Female","Doctorate","Employed full-time","Other","€1000–€2000","Monthly","3","3","Uniqueness;Price;Quality","Sometimes","A few","2","2","Online reviews","3","Services","3","Neutral","3","Tech","3","Neutral","3","Services","3","Neutral","3","Finance","3","Neutral","3","Marketing","3","Neutral","3","Health","3","Neutral","3","Marketing","3","Neutral","3","Education","3","Neutral","3","Services","3","Neutral","3","Food","3","Neutral","3","Finance","3","Neutral","3","Media","3","Neutral","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/02 1:25:50 PM GMT+3","25–34","Female","Bachelor's degree","Employed full-time","Education","Prefer not to say","Monthly","5","2","Attractiveness;Uniqueness;Trustworthiness;Price;Quality;Popularity","Sometimes","Very few","2","3","Online reviews","2","Health","2","Neutral","2","Services","1","Bad","1","Industry","1","Bad","3","Services","2","Neutral","2","Food","2","Neutral","3","Health","3","Good","3","Industry","3","Good","1","Media","1","Bad","1","Fashion","1","Bad","1","Tech","2","Neutral","2","Fashion","1","Neutral","2","Health","4","Bad","1","Norse Projects","1","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/05/02 1:26:24 PM GMT+3","25–34","Female","Bachelor's degree","Employed full-time","Health","€2000–€3000","Weekly","4","3","Attractiveness;Clarity","Sometimes","A few","4","4","Friends and family","4","Health","4","Good","4","Industry","3","Good","4","Fashion","4","Good","3","Finance","4","Good","3","Health","4","Good","3","Health","4","Good","3","Industry","4","Good","4","Services","4","Good","4","Fashion","4","Good","4","Education","3","Good","4","Retail","4","Good","3","Retail","4","Good","2","Norse Projects","2","Verdura","1","Ecotiva","2","Plaid"
"2025/05/02 1:41:37 PM GMT+3","18–24","Female","Master's degree","Student","Not employed","Prefer not to say","Monthly","2","1","Attractiveness;Trustworthiness;Price;Quality","Rarely","None","2","2","Online reviews","2","Marketing","2","Bad","3","Media","3","Bad","2","Industry","1","Very bad","2","Services","1","Bad","4","Health","4","Good","4","Tech","4","Neutral","3","Education","3","Neutral","2","Industry","2","Bad","4","Tech","2","Neutral","2","Health","4","Good","3","Fashion","3","Good","2","Education","1","Very bad","2","Norse Projects","2","Seedlip","1","Ecotiva","1","Seraphic"
"2025/05/02 2:52:56 PM GMT+3","18–24","Female","High school","Student","Not employed","Under €1000","Weekly","2","1","Attractiveness;Uniqueness;Price","Usually","A few","2","1","Social media","1","Health","4","Neutral","3","Media","5","Very good","4","Fashion","5","Very good","1","Industry","1","Bad","3","Fashion","3","Neutral","2","Tech","1","Neutral","2","Food","3","Good","3","Health","3","Good","2","Media","1","Neutral","3","Other","4","Good","3","Tech","3","Good","3","Retail","4","Good","1","Norse Projects","1","Seedlip","2","Groove Collaborative","1","Plaid"
"2025/05/02 5:00:29 PM GMT+3","18–24","Female","Master's degree","Student","Marketing","Under €1000","Monthly","4","2","Memorability;Attractiveness","Sometimes","A few","3","3","Social media","4","Health","2","Neutral","4","Tech","5","Good","1","Fashion","2","Bad","2","Tech","2","Bad","2","Health","2","Neutral","3","Health","4","Good","2","Services","2","Bad","1","Other","1","Very bad","1","Other","1","Very bad","4","Food","2","Neutral","2","Services","3","Neutral","1","Other","1","Very bad","1","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/02 5:52:20 PM GMT+3","25–34","Male","Bachelor's degree","Employed full-time","Marketing","€3000–€4000","Monthly","5","4","Uniqueness;Price;Quality","Always","A few","4","5","Online reviews","4","Food","5","Very good","4","Industry","5","Good","5","Fashion","5","Good","5","Other","4","Good","5","Health","5","Good","4","Health","4","Very good","5","Health","5","Very good","4","Fashion","5","Good","5","Finance","5","Good","5","Food","5","Very good","5","Industry","5","Very good","5","Health","4","Very good","2","Etiera","1","Seedlip","1","Ecotiva","2","Seraphic"
"2025/05/02 7:33:33 PM GMT+3","Under 18","Female","High school","Student","Not employed","Under €1000","Monthly","3","2","Attractiveness;Uniqueness;Trustworthiness;Price;Quality","Sometimes","Many","2","2","Social media","3","Health","4","Neutral","2","Tech","2","Neutral","2","Industry","3","Good","2","Services","2","Neutral","3","Fashion","3","Good","3","Health","4","Neutral","2","Marketing","2","Neutral","2","Fashion","4","Neutral","3","Tech","2","Good","4","Health","4","Neutral","3","Other","3","Neutral","2","Health","3","Neutral","2","Norse Projects","1","Seedlip","1","Ecotiva","1","Plaid"
"2025/05/02 9:32:23 PM GMT+3","18–24","Female","High school","Student","Not employed","Under €1000","Monthly","1","1","Clarity","Sometimes","Very few","1","4","Social media","5","Services","5","Very good","5","Industry","4","Neutral","5","Marketing","5","Very good","5","Services","5","Very good","5","Media","5","Very good","5","Industry","5","Very good","5","Fashion","5","Very good","5","Health","5","Very good","5","Marketing","5","Very good","5","Marketing","5","Very good","5","Finance","5","Very good","5","Retail","5","Very good","1","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/02 11:45:19 PM GMT+3","18–24","Male","Bachelor's degree","Student","Not employed","Prefer not to say","Monthly","3","1","Memorability;Trustworthiness;Quality","Rarely","A few","1","1","Online reviews","2","Health","4","Neutral","2","Tech","3","Neutral","1","Media","2","Bad","3","Services","3","Bad","2","Finance","1","Good","3","Health","5","Good","3","Services","4","Good","2","Finance","3","Neutral","2","Finance","1","Neutral","4","Health","4","Good","2","Industry","1","Neutral","3","Other","4","Good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/03 2:56:32 AM GMT+3","18–24","Male","High school","Unemployed","Not employed","Under €1000","Rarely","2","2","Clarity;Price;Quality","Sometimes","Many","3","2","Online reviews","3","Other","4","Neutral","2","Tech","3","Neutral","2","Industry","3","Neutral","2","Tech","2","Bad","2","Fashion","2","Neutral","1","Health","2","Bad","3","Services","2","Neutral","2","Marketing","2","Neutral","2","Health","1","Bad","4","Fashion","4","Neutral","2","Tech","1","Neutral","1","Industry","1","Neutral","2","Norse Projects","1","Seedlip","1","Groove Collaborative","1","Seraphic"
"2025/05/03 5:22:25 AM GMT+3","18–24","Female","High school","Employed part-time","Food","Under €1000","Rarely","3","3","Clarity;Trustworthiness;Price;Quality;Popularity","Sometimes","A few","1","2","Online reviews","1","Food","4","Neutral","4","Tech","4","Neutral","1","Industry","1","Neutral","1","Food","1","Very bad","2","Fashion","3","Good","3","Health","4","Good","2","Finance","4","Neutral","2","Fashion","1","Neutral","3","Marketing","2","Neutral","4","Fashion","4","Good","2","Tech","3","Neutral","2","Other","2","Good","2","Etiera","1","Verdura","2","Groove Collaborative","1","Seraphic"
"2025/05/03 1:37:16 PM GMT+3","18–24","Female","Bachelor's degree","Student","Tech","€1000–€2000","Weekly","4","3","Clarity;Trustworthiness;Price;Quality","Rarely","Very few","2","2","Social media","2","Food","3","Neutral","2","Marketing","3","Neutral","1","Tech","1","Bad","2","Finance","1","Bad","3","Food","3","Bad","2","Tech","2","Neutral","2","Fashion","2","Bad","1","Health","1","Bad","1","Retail","1","Bad","3","Health","3","Good","3","Tech","3","Neutral","1","Health","1","Bad","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/03 1:48:31 PM GMT+3","25–34","Male","Bachelor's degree","Employed full-time","Industry","Prefer not to say","Daily","4","2","Memorability;Trustworthiness;Price;Quality","Rarely","Very few","2","4","Online reviews","4","Food","1","Neutral","5","Finance","3","Very bad","4","Industry","2","Good","5","Services","5","Very good","3","Health","2","Neutral","5","Health","3","Very good","2","Retail","2","Very good","4","Health","5","Very good","4","Finance","4","Good","5","Fashion","4","Bad","3","Services","5","Bad","4","Marketing","2","Neutral","1","Etiera","2","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/05/03 1:53:58 PM GMT+3","25–34","Female","Master's degree","Self-employed","Education","Prefer not to say","Weekly","1","1","Price;Quality","Never","None","1","1","Friends and family","4","Health","2","Bad","1","Tech","4","Very good","4","Marketing","5","Neutral","3","Tech","4","Neutral","4","Health","2","Bad","1","Health","2","Bad","3","Food","2","Good","5","Finance","5","Very good","3","Fashion","2","Very bad","5","Health","5","Very bad","4","Industry","5","Good","1","Finance","3","Neutral","2","Norse Projects","1","Seedlip","2","Groove Collaborative","1","Seraphic"
"2025/05/03 1:58:18 PM GMT+3","Under 18","Male","Other","Student","Not employed","Under €1000","Rarely","5","5","Memorability;Attractiveness;Uniqueness;Popularity","Sometimes","A few","5","5","Online reviews","2","Food","2","Very bad","3","Tech","2","Very bad","2","Industry","1","Very bad","3","Services","2","Very bad","5","Fashion","5","Very good","4","Health","3","Very good","3","Food","2","Bad","5","Health","5","Very good","3","Fashion","2","Very bad","5","Health","5","Very good","2","Industry","2","Very bad","4","Retail","4","Good","2","Etiera","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/03 2:03:13 PM GMT+3","18–24","Female","Master's degree","Student","Not employed","Prefer not to say","Weekly","3","3","Attractiveness;Uniqueness;Price;Quality","Sometimes","A few","3","3","Friends and family","4","Health","4","Neutral","4","Tech","4","Good","4","Fashion","4","Bad","4","Finance","4","Good","4","Food","4","Good","5","Health","4","Very good","4","Services","4","Good","3","Industry","4","Neutral","5","Services","4","Very good","5","Other","5","Very good","4","Industry","5","Good","4","Tech","4","Good","1","Norse Projects","1","Verdura","2","Groove Collaborative","2","Plaid"
"2025/05/03 2:48:35 PM GMT+3","25–34","Male","Bachelor's degree","Employed full-time","Tech","€1000–€2000","Daily","4","5","Attractiveness;Clarity;Uniqueness","Sometimes","A few","4","5","Advertising","5","Food","4","Good","4","Other","4","Good","4","Other","4","Good","4","Other","4","Good","4","Other","4","Good","5","Other","5","Good","4","Other","4","Good","5","Other","5","Good","5","Other","5","Good","5","Other","5","Good","5","Other","4","Good","5","Other","4","Very good","2","Etiera","2","Seedlip","2","Groove Collaborative","2","Plaid"
"2025/05/03 2:58:38 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Prefer not to say","Monthly","5","4","Attractiveness;Clarity;Uniqueness;Trustworthiness;Price;Quality;Popularity","Rarely","Very few","2","3","Social media","3","Fashion","3","Good","4","Health","4","Good","5","Fashion","5","Very good","3","Marketing","2","Neutral","3","Food","3","Good","4","Fashion","3","Good","3","Other","3","Good","3","Fashion","3","Neutral","3","Fashion","2","Bad","5","Fashion","5","Good","3","Tech","3","Neutral","3","Tech","3","Good","2","Etiera","2","Seedlip","1","Ecotiva","1","Seraphic"
"2025/05/03 3:18:32 PM GMT+3","18–24","Male","Bachelor's degree","Student","Not employed","Under €1000","Monthly","3","3","Uniqueness","Sometimes","None","3","3","Social media","2","Health","2","Neutral","1","Education","1","Neutral","1","Industry","1","Bad","3","Services","3","Neutral","4","Retail","3","Neutral","4","Health","3","Neutral","3","Fashion","3","Neutral","3","Services","2","Neutral","3","Services","3","Neutral","3","Fashion","2","Neutral","4","Education","4","Neutral","1","Finance","1","Very bad","2","Etiera","1","Verdura","2","Groove Collaborative","2","Plaid"
"2025/05/04 12:02:42 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","Under €1000","Monthly","4","3","Attractiveness;Trustworthiness;Price;Quality","Sometimes","A few","2","2","Online reviews","2","Health","2","Neutral","4","Tech","4","Neutral","1","Services","1","Neutral","3","Tech","2","Neutral","3","Retail","4","Neutral","3","Health","4","Good","2","Services","3","Neutral","4","Food","4","Neutral","4","Industry","2","Bad","4","Health","4","Good","3","Industry","1","Bad","3","Education","3","Bad","2","Etiera","1","Verdura","1","Groove Collaborative","1","Seraphic"
"2025/05/04 12:08:42 PM GMT+3","18–24","Female","Bachelor's degree","Employed part-time","Marketing","€1000–€2000","Monthly","4","3","Memorability;Uniqueness;Trustworthiness;Price;Quality","Sometimes","A few","1","1","Social media","2","Industry","1","Bad","3","Tech","1","Neutral","2","Services","2","Good","2","Tech","1","Neutral","4","Fashion","4","Neutral","2","Tech","2","Good","2","Media","4","Neutral","5","Health","5","Very good","1","Education","1","Bad","4","Health","5","Good","4","Retail","4","Good","2","Services","2","Very bad","2","Etiera","1","Verdura","2","Groove Collaborative","1","Seraphic"
"2025/05/04 2:22:56 PM GMT+3","18–24","Female","Bachelor's degree","Student","","Under €1000","Monthly","4","2","Price;Quality","Rarely","Very few","3","3","Social media","2","Other","3","Neutral","4","Tech","4","Good","4","Industry","4","Good","3","Finance","2","Bad","3","Other","2","Bad","3","Health","3","Neutral","3","Other","2","Neutral","3","Other","3","Neutral","2","Other","2","Neutral","2","Health","2","Bad","4","Fashion","4","Good","2","Other","2","Neutral","1","Norse Projects","1","Verdura","1","Ecotiva","1","Seraphic"
"2025/05/04 2:32:04 PM GMT+3","18–24","Female","Bachelor's degree","Student","Not employed","€1000–€2000","Rarely","3","4","Clarity","Rarely","A few","3","4","Online reviews","2","Industry","3","Bad","4","Education","2","Good","3","Fashion","3","Neutral","4","Finance","1","Neutral","3","Marketing","2","Very good","3","Health","4","Very good","4","Education","4","Very good","1","Food","4","Bad","4","Education","5","Very good","3","Marketing","4","Very bad","4","Services","3","Neutral","4","Retail","1","Good","2","Norse Projects","1","Verdura","2","Ecotiva","2","Seraphic"
"2025/05/05 10:24:42 AM GMT+3","35–44","Female","Bachelor's degree","Employed full-time","Industry","Prefer not to say","Monthly","3","2","Clarity;Price;Quality","Sometimes","A few","4","3","Influencers","3","Health","2","Neutral","2","Health","3","Neutral","1","Tech","1","Bad","4","Services","4","Neutral","2","Marketing","2","Neutral","4","Health","4","Good","3","Retail","3","Good","3","Other","2","Bad","4","Education","3","Good","4","Health","4","Good","3","Industry","4","Bad","4","Industry","4","Good","2","Etiera","1","Verdura","2","Ecotiva","1","Seraphic"
"2025/05/05 10:32:00 AM GMT+3","45+","Male","Bachelor's degree","Employed full-time","Industry","Prefer not to say","Rarely","1","1","Clarity;Uniqueness;Price;Popularity","Usually","Many","3","2","Advertising","2","Food","3","Good","3","Tech","3","Neutral","2","Education","2","Bad","4","Services","4","Good","3","Marketing","3","Neutral","4","Health","4","Good","2","Industry","3","Neutral","2","Finance","3","Bad","4","Services","4","Good","4","Health","4","Good","2","Marketing","3","Neutral","5","Industry","4","Good","2","Norse Projects","1","Verdura","1","Groove Collaborative","1","Seraphic"
